rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
125,frame_0295.jpg,118.0,0.6261,0.8582,0.55,0.16,22,11,False,False
126,frame_0104.jpg,41.6,0.6258,0.9036,0.5,0.12,25,10,False,False
127,frame_0283.jpg,113.2,0.6247,0.9034,0.55,0.04,19,11,False,False
128,frame_0217.jpg,86.8,0.6235,0.9389,0.3,0.32,20,6,False,False
129,frame_0313.jpg,125.2,0.623,0.84,0.65,0.04,23,13,False,False
130,frame_0103.jpg,41.2,0.6227,0.8214,0.6,0.16,24,12,False,False
131,frame_0101.jpg,40.4,0.6223,0.8226,0.65,0.08,25,13,False,False
132,frame_0080.jpg,32.0,0.6214,0.8907,0.4,0.28,21,8,False,False
133,frame_0307.jpg,122.8,0.6214,0.9528,0.35,0.2,21,7,False,False
134,frame_0008.jpg,3.2,0.6199,0.8118,0.5,0.32,17,10,False,False
135,frame_0272.jpg,108.8,0.6197,0.8774,0.55,0.08,28,11,False,False
136,frame_0383.jpg,153.2,0.6196,0.8912,0.5,0.12,32,10,False,False
137,frame_0229.jpg,91.6,0.6182,0.7845,0.7,0.08,32,14,False,False
138,frame_0082.jpg,32.8,0.6177,0.8814,0.35,0.36,19,7,False,False
139,frame_0228.jpg,91.2,0.6174,0.7688,0.75,0.04,30,15,False,False
140,frame_0027.jpg,10.8,0.6169,0.9319,0.45,0.08,18,9,False,False
141,frame_0100.jpg,40.0,0.6165,0.917,0.5,0.04,23,10,False,False
142,frame_0030.jpg,12.0,0.6162,0.9165,0.5,0.04,21,10,False,False
143,frame_0281.jpg,112.4,0.6159,0.8239,0.6,0.12,23,12,False,False
144,frame_0297.jpg,118.8,0.6157,0.8954,0.4,0.24,19,8,False,False
145,frame_0006.jpg,2.4,0.6154,0.8347,0.5,0.24,16,10,False,False
146,frame_0397.jpg,158.8,0.6153,0.8805,0.45,0.2,26,9,False,False
147,frame_0225.jpg,90.0,0.6114,0.8308,0.6,0.08,23,12,False,False
148,frame_0267.jpg,106.8,0.6113,0.8446,0.55,0.12,24,11,False,False
149,frame_0076.jpg,30.4,0.6106,0.9032,0.45,0.12,22,9,False,False
150,frame_0304.jpg,121.6,0.6101,0.8223,0.45,0.32,18,9,False,False
